year,event,experiment,intensity
1877,wildfire,historical,0.18565992
1878,wildfire,historical,0.18633807
1879,wildfire,historical,0.18443008
1880,wildfire,historical,0.18433766
1881,wildfire,historical,0.18549658
1882,wildfire,historical,0.18731934
1883,wildfire,historical,0.18523078
1884,wildfire,historical,0.18385907
1885,wildfire,historical,0.18359919
1886,wildfire,historical,0.18648265
1887,wildfire,historical,0.18683939
1888,wildfire,historical,0.18650392
1889,wildfire,historical,0.18318652
1890,wildfire,historical,0.18329008
1891,wildfire,historical,0.18493038
1892,wildfire,historical,0.18625002
1893,wildfire,historical,0.18532647
1894,wildfire,historical,0.18388495
1895,wildfire,historical,0.18425083
1896,wildfire,historical,0.18412805
1897,wildfire,historical,0.18531309
1898,wildfire,historical,0.18501052
1899,wildfire,historical,0.18485597
1900,wildfire,historical,0.18435633
1901,wildfire,historical,0.18479969
1902,wildfire,historical,0.18339711
1903,wildfire,historical,0.1847359
1904,wildfire,historical,0.18432994
1905,wildfire,historical,0.18494523
1906,wildfire,historical,0.1841227
1907,wildfire,historical,0.18582915
1908,wildfire,historical,0.18498418
1909,wildfire,historical,0.1846379
1910,wildfire,historical,0.18503064
1911,wildfire,historical,0.18517737
1912,wildfire,historical,0.18456018
1913,wildfire,historical,0.1845201
1914,wildfire,historical,0.18400489
1915,wildfire,historical,0.1844564
1916,wildfire,historical,0.18602473
1917,wildfire,historical,0.18398508
1918,wildfire,historical,0.18443094
1919,wildfire,historical,0.18448894
1920,wildfire,historical,0.18439963
1921,wildfire,historical,0.18432045
1922,wildfire,historical,0.18341833
1923,wildfire,historical,0.18453237
1924,wildfire,historical,0.18448138
1925,wildfire,historical,0.18587501
1926,wildfire,historical,0.18567501
1927,wildfire,historical,0.18452185
1928,wildfire,historical,0.18467963
1929,wildfire,historical,0.18477139
1930,wildfire,historical,0.18295284
1931,wildfire,historical,0.18280089
1932,wildfire,historical,0.18513355
1933,wildfire,historical,0.1850688
1934,wildfire,historical,0.18514332
1935,wildfire,historical,0.1836092
1936,wildfire,historical,0.18509394
1937,wildfire,historical,0.18521325
1938,wildfire,historical,0.18251705
1939,wildfire,historical,0.18449219
1940,wildfire,historical,0.18378669
1941,wildfire,historical,0.18622214
1942,wildfire,historical,0.18437116
1943,wildfire,historical,0.18385577
1944,wildfire,historical,0.18358222
1945,wildfire,historical,0.18417993
1946,wildfire,historical,0.18268037
1947,wildfire,historical,0.18401895
1948,wildfire,historical,0.1848458
1949,wildfire,historical,0.18532975
1950,wildfire,historical,0.18356642
1951,wildfire,historical,0.183602
1952,wildfire,historical,0.18426877
1953,wildfire,historical,0.18502867
1954,wildfire,historical,0.18450335
1955,wildfire,historical,0.1830363
1956,wildfire,historical,0.18381776
1957,wildfire,historical,0.18415286
1958,wildfire,historical,0.18514487
1959,wildfire,historical,0.18310697
1960,wildfire,historical,0.18226433
1961,wildfire,historical,0.18464205
1962,wildfire,historical,0.18442556
1963,wildfire,historical,0.18579915
1964,wildfire,historical,0.18330197
1965,wildfire,historical,0.18578924
1966,wildfire,historical,0.18567125
1967,wildfire,historical,0.1844903
1968,wildfire,historical,0.18287794
1969,wildfire,historical,0.18460013
1970,wildfire,historical,0.18481088
1971,wildfire,historical,0.18344215
1972,wildfire,historical,0.18336818
1973,wildfire,historical,0.18335375
1974,wildfire,historical,0.1854412
1975,wildfire,historical,0.18493494
1976,wildfire,historical,0.18340346
1977,wildfire,historical,0.18323609
1978,wildfire,historical,0.18388644
1979,wildfire,historical,0.18285342
1980,wildfire,historical,0.18332386
1981,wildfire,historical,0.18389745
1982,wildfire,historical,0.18558346
1983,wildfire,historical,0.18324539
1984,wildfire,historical,0.18173066
1985,wildfire,historical,0.18429472
1986,wildfire,historical,0.18526682
1987,wildfire,historical,0.18313149
1988,wildfire,historical,0.18380287
1989,wildfire,historical,0.18599685
1990,wildfire,historical,0.18548134
1991,wildfire,historical,0.18384166
1992,wildfire,historical,0.18246329
1993,wildfire,historical,0.18130691
1994,wildfire,historical,0.18336527
1995,wildfire,historical,0.1840439
1996,wildfire,historical,0.18328741
1997,wildfire,historical,0.18306065
1998,wildfire,historical,0.18359967
1999,wildfire,historical,0.18381536
2000,wildfire,historical,0.18238266
2001,wildfire,historical,0.18302748
2002,wildfire,historical,0.18460438
2003,wildfire,historical,0.18508525
2004,wildfire,historical,0.18425967
2005,wildfire,historical,0.18298638
2006,wildfire,historical,0.18388717
2007,wildfire,historical,0.18215793
2008,wildfire,historical,0.18357727
2009,wildfire,historical,0.18358912
2010,wildfire,historical,0.18249987
2011,wildfire,historical,0.18452212
2012,wildfire,historical,0.18340315
2013,wildfire,historical,0.18354754
2014,wildfire,historical,0.18315928
1850,snow,historical,0.015336183
1851,snow,historical,0.015652364
1852,snow,historical,0.015515699
1853,snow,historical,0.015412468
1854,snow,historical,0.015387846
1855,snow,historical,0.015692946
1856,snow,historical,0.015341193
1857,snow,historical,0.015674563
1858,snow,historical,0.015577099
1859,snow,historical,0.015581621
1860,snow,historical,0.015763419
1861,snow,historical,0.015849842
1862,snow,historical,0.014962634
1863,snow,historical,0.015434729
1864,snow,historical,0.015484704
1865,snow,historical,0.01521272
1866,snow,historical,0.015462202
1867,snow,historical,0.0154959215
1868,snow,historical,0.015488024
1869,snow,historical,0.015705489
1870,snow,historical,0.015432577
1871,snow,historical,0.015495909
1872,snow,historical,0.015341087
1873,snow,historical,0.015887544
1874,snow,historical,0.015590056
1875,snow,historical,0.01563497
1876,snow,historical,0.015209226
1877,snow,historical,0.015772482
1878,snow,historical,0.0155533
1879,snow,historical,0.01579445
1880,snow,historical,0.015609176
1881,snow,historical,0.015418213
1882,snow,historical,0.015801808
1883,snow,historical,0.015509045
1884,snow,historical,0.015416167
1885,snow,historical,0.0153318755
1886,snow,historical,0.01539373
1887,snow,historical,0.015251067
1888,snow,historical,0.015525732
1889,snow,historical,0.015866634
1890,snow,historical,0.015157881
1891,snow,historical,0.015251684
1892,snow,historical,0.015630202
1893,snow,historical,0.015559748
1894,snow,historical,0.015139313
1895,snow,historical,0.01486418
1896,snow,historical,0.015328955
1897,snow,historical,0.015133194
1898,snow,historical,0.015632698
1899,snow,historical,0.015285051
1900,snow,historical,0.01543906
1901,snow,historical,0.01514387
1902,snow,historical,0.015561639
1903,snow,historical,0.015484134
1904,snow,historical,0.015186258
1905,snow,historical,0.015547441
1906,snow,historical,0.01529014
1907,snow,historical,0.01551978
1908,snow,historical,0.0154686095
1909,snow,historical,0.014934408
1910,snow,historical,0.015191501
1911,snow,historical,0.01516152
1912,snow,historical,0.015636697
1913,snow,historical,0.01511707
1914,snow,historical,0.014825049
1915,snow,historical,0.015504022
1916,snow,historical,0.015464253
1917,snow,historical,0.015292257
1918,snow,historical,0.015485416
1919,snow,historical,0.01565044
1920,snow,historical,0.015108549
1921,snow,historical,0.015310502
1922,snow,historical,0.015343607
1923,snow,historical,0.0153384805
1924,snow,historical,0.015588416
1925,snow,historical,0.015434304
1926,snow,historical,0.015538425
1927,snow,historical,0.01556983
1928,snow,historical,0.015525239
1929,snow,historical,0.01584116
1930,snow,historical,0.01544197
1931,snow,historical,0.015530315
1932,snow,historical,0.0154178245
1933,snow,historical,0.015749995
1934,snow,historical,0.015650978
1935,snow,historical,0.015170279
1936,snow,historical,0.015055404
1937,snow,historical,0.015565479
1938,snow,historical,0.015378879
1939,snow,historical,0.014726462
1940,snow,historical,0.015284538
1941,snow,historical,0.01531182
1942,snow,historical,0.015761299
1943,snow,historical,0.015873518
1944,snow,historical,0.015188077
1945,snow,historical,0.015324254
1946,snow,historical,0.015581306
1947,snow,historical,0.015368796
1948,snow,historical,0.015586433
1949,snow,historical,0.015612945
1950,snow,historical,0.01503732
1951,snow,historical,0.015379243
1952,snow,historical,0.015695106
1953,snow,historical,0.01620855
1954,snow,historical,0.015689174
1955,snow,historical,0.015213119
1956,snow,historical,0.015131887
1957,snow,historical,0.015705286
1958,snow,historical,0.0157827
1959,snow,historical,0.015696267
1960,snow,historical,0.0153063955
1961,snow,historical,0.015510924
1962,snow,historical,0.016273491
1963,snow,historical,0.016154245
1964,snow,historical,0.015526774
1965,snow,historical,0.0153477
1966,snow,historical,0.015717365
1967,snow,historical,0.015604865
1968,snow,historical,0.015386327
1969,snow,historical,0.01581216
1970,snow,historical,0.015682245
1971,snow,historical,0.015809003
1972,snow,historical,0.015584816
1973,snow,historical,0.015623167
1974,snow,historical,0.015554446
1975,snow,historical,0.015762923
1976,snow,historical,0.01563109
1977,snow,historical,0.015670225
1978,snow,historical,0.0152952615
1979,snow,historical,0.01568292
1980,snow,historical,0.015716143
1981,snow,historical,0.015905255
1982,snow,historical,0.015945219
1983,snow,historical,0.015551487
1984,snow,historical,0.015277144
1985,snow,historical,0.015205237
1986,snow,historical,0.015278637
1987,snow,historical,0.015485246
1988,snow,historical,0.015000094
1989,snow,historical,0.01568707
1990,snow,historical,0.015552499
1991,snow,historical,0.01576496
1992,snow,historical,0.015568048
1993,snow,historical,0.014957133
1994,snow,historical,0.015440329
1995,snow,historical,0.015942259
1996,snow,historical,0.015829595
1997,snow,historical,0.015625942
1998,snow,historical,0.015378765
1999,snow,historical,0.015509174
2000,snow,historical,0.015370018
2001,snow,historical,0.015598007
2002,snow,historical,0.01524106
2003,snow,historical,0.015504281
2004,snow,historical,0.015893074
2005,snow,historical,0.015212151
2006,snow,historical,0.015282698
2007,snow,historical,0.015344909
2008,snow,historical,0.015175753
2009,snow,historical,0.0148349255
2010,snow,historical,0.015792137
2011,snow,historical,0.015644418
2012,snow,historical,0.015676232
2013,snow,historical,0.015187013
2014,snow,historical,0.015312102
1850,sea_level,historical,0.65465444
1851,sea_level,historical,0.65472704
1852,sea_level,historical,0.6552944
1853,sea_level,historical,0.6545851
1854,sea_level,historical,0.6546096
1855,sea_level,historical,0.6537701
1856,sea_level,historical,0.6532272
1857,sea_level,historical,0.65441024
1858,sea_level,historical,0.65691406
1859,sea_level,historical,0.65745693
1860,sea_level,historical,0.65501577
1861,sea_level,historical,0.65430766
1862,sea_level,historical,0.6548691
1863,sea_level,historical,0.65508276
1864,sea_level,historical,0.6533626
1865,sea_level,historical,0.6525224
1866,sea_level,historical,0.65409267
1867,sea_level,historical,0.65389454
1868,sea_level,historical,0.65336365
1869,sea_level,historical,0.6530917
1870,sea_level,historical,0.65319586
1871,sea_level,historical,0.6532565
1872,sea_level,historical,0.65109
1873,sea_level,historical,0.6503833
1874,sea_level,historical,0.6501821
1875,sea_level,historical,0.6496828
1876,sea_level,historical,0.64929795
1877,sea_level,historical,0.64865226
1878,sea_level,historical,0.6473249
1879,sea_level,historical,0.6477391
1880,sea_level,historical,0.6507225
1881,sea_level,historical,0.65173215
1882,sea_level,historical,0.6509557
1883,sea_level,historical,0.64993805
1884,sea_level,historical,0.64881045
1885,sea_level,historical,0.6471979
1886,sea_level,historical,0.6473218
1887,sea_level,historical,0.64865357
1888,sea_level,historical,0.64792013
1889,sea_level,historical,0.64826304
1890,sea_level,historical,0.648826
1891,sea_level,historical,0.6497856
1892,sea_level,historical,0.6503417
1893,sea_level,historical,0.6491358
1894,sea_level,historical,0.6480449
1895,sea_level,historical,0.6491188
1896,sea_level,historical,0.64884067
1897,sea_level,historical,0.64696914
1898,sea_level,historical,0.6470857
1899,sea_level,historical,0.6485109
1900,sea_level,historical,0.6475661
1901,sea_level,historical,0.6474346
1902,sea_level,historical,0.6477021
1903,sea_level,historical,0.64624864
1904,sea_level,historical,0.6469803
1905,sea_level,historical,0.64684355
1906,sea_level,historical,0.6459944
1907,sea_level,historical,0.648272
1908,sea_level,historical,0.6481728
1909,sea_level,historical,0.6479716
1910,sea_level,historical,0.64751494
1911,sea_level,historical,0.6479704
1912,sea_level,historical,0.64702135
1913,sea_level,historical,0.64503074
1914,sea_level,historical,0.64405096
1915,sea_level,historical,0.6448454
1916,sea_level,historical,0.64497626
1917,sea_level,historical,0.646193
1918,sea_level,historical,0.6474618
1919,sea_level,historical,0.6474551
1920,sea_level,historical,0.6465114
1921,sea_level,historical,0.64797604
1922,sea_level,historical,0.64779824
1923,sea_level,historical,0.6467868
1924,sea_level,historical,0.64713776
1925,sea_level,historical,0.6479392
1926,sea_level,historical,0.64639705
1927,sea_level,historical,0.6453722
1928,sea_level,historical,0.64524317
1929,sea_level,historical,0.6446132
1930,sea_level,historical,0.6434264
1931,sea_level,historical,0.64424145
1932,sea_level,historical,0.64731807
1933,sea_level,historical,0.6459595
1934,sea_level,historical,0.6447859
1935,sea_level,historical,0.64717835
1936,sea_level,historical,0.648468
1937,sea_level,historical,0.6485983
1938,sea_level,historical,0.6494271
1939,sea_level,historical,0.64941573
1940,sea_level,historical,0.6503051
1941,sea_level,historical,0.64924157
1942,sea_level,historical,0.6466157
1943,sea_level,historical,0.6473905
1944,sea_level,historical,0.6490044
1945,sea_level,historical,0.6485877
1946,sea_level,historical,0.64785653
1947,sea_level,historical,0.6482469
1948,sea_level,historical,0.6481937
1949,sea_level,historical,0.64753467
1950,sea_level,historical,0.6477615
1951,sea_level,historical,0.6475969
1952,sea_level,historical,0.6494777
1953,sea_level,historical,0.64976376
1954,sea_level,historical,0.6503781
1955,sea_level,historical,0.64905626
1956,sea_level,historical,0.64867085
1957,sea_level,historical,0.6487954
1958,sea_level,historical,0.64883673
1959,sea_level,historical,0.6477043
1960,sea_level,historical,0.6480014
1961,sea_level,historical,0.64769
1962,sea_level,historical,0.6472441
1963,sea_level,historical,0.647006
1964,sea_level,historical,0.64522743
1965,sea_level,historical,0.6447763
1966,sea_level,historical,0.64498115
1967,sea_level,historical,0.64347905
1968,sea_level,historical,0.6441259
1969,sea_level,historical,0.6452403
1970,sea_level,historical,0.64459157
1971,sea_level,historical,0.6455231
1972,sea_level,historical,0.647899
1973,sea_level,historical,0.6477659
1974,sea_level,historical,0.6476801
1975,sea_level,historical,0.64795125
1976,sea_level,historical,0.6476276
1977,sea_level,historical,0.64780635
1978,sea_level,historical,0.64860994
1979,sea_level,historical,0.64841473
1980,sea_level,historical,0.6484241
1981,sea_level,historical,0.6487163
1982,sea_level,historical,0.6494527
1983,sea_level,historical,0.64958096
1984,sea_level,historical,0.6486005
1985,sea_level,historical,0.64929706
1986,sea_level,historical,0.65066755
1987,sea_level,historical,0.6511145
1988,sea_level,historical,0.65289974
1989,sea_level,historical,0.65387315
1990,sea_level,historical,0.6529095
1991,sea_level,historical,0.65361965
1992,sea_level,historical,0.6536566
1993,sea_level,historical,0.6523239
1994,sea_level,historical,0.65339833
1995,sea_level,historical,0.6536538
1996,sea_level,historical,0.65291166
1997,sea_level,historical,0.6524458
1998,sea_level,historical,0.65384096
1999,sea_level,historical,0.6548058
2000,sea_level,historical,0.655594
2001,sea_level,historical,0.6560785
2002,sea_level,historical,0.6566188
2003,sea_level,historical,0.6586679
2004,sea_level,historical,0.6593176
2005,sea_level,historical,0.6587102
2006,sea_level,historical,0.6599704
2007,sea_level,historical,0.65982467
2008,sea_level,historical,0.66079396
2009,sea_level,historical,0.66266596
2010,sea_level,historical,0.66232735
2011,sea_level,historical,0.6634391
2012,sea_level,historical,0.6634878
2013,sea_level,historical,0.66357374
2014,sea_level,historical,0.6652045
1850,heat,abrupt-4xCO2,0.0036711448
1851,heat,abrupt-4xCO2,0.0059800684
1852,heat,abrupt-4xCO2,0.0067411913
1853,heat,abrupt-4xCO2,0.0068443133
1854,heat,abrupt-4xCO2,0.0061217207
1855,heat,abrupt-4xCO2,0.006420225
1856,heat,abrupt-4xCO2,0.009885468
1857,heat,abrupt-4xCO2,0.010095821
1858,heat,abrupt-4xCO2,0.0092461305
1859,heat,abrupt-4xCO2,0.011346767
1860,heat,abrupt-4xCO2,0.010244338
1861,heat,abrupt-4xCO2,0.008298745
1862,heat,abrupt-4xCO2,0.0108623095
1863,heat,abrupt-4xCO2,0.012504804
1864,heat,abrupt-4xCO2,0.011703215
1865,heat,abrupt-4xCO2,0.012987203
1866,heat,abrupt-4xCO2,0.013288385
1867,heat,abrupt-4xCO2,0.009564886
1868,heat,abrupt-4xCO2,0.012907635
1869,heat,abrupt-4xCO2,0.013328428
1870,heat,abrupt-4xCO2,0.009140147
1871,heat,abrupt-4xCO2,0.0114720855
1872,heat,abrupt-4xCO2,0.013121423
1873,heat,abrupt-4xCO2,0.011251023
1874,heat,abrupt-4xCO2,0.014616192
1875,heat,abrupt-4xCO2,0.015118745
1876,heat,abrupt-4xCO2,0.010947647
1877,heat,abrupt-4xCO2,0.01065391
1878,heat,abrupt-4xCO2,0.013377861
1879,heat,abrupt-4xCO2,0.012170609
1880,heat,abrupt-4xCO2,0.013345838
1881,heat,abrupt-4xCO2,0.013405106
1882,heat,abrupt-4xCO2,0.010000229
1883,heat,abrupt-4xCO2,0.014510091
1884,heat,abrupt-4xCO2,0.014647418
1885,heat,abrupt-4xCO2,0.010651164
1886,heat,abrupt-4xCO2,0.013501853
1887,heat,abrupt-4xCO2,0.016206479
1888,heat,abrupt-4xCO2,0.014482541
1889,heat,abrupt-4xCO2,0.011912158
1890,heat,abrupt-4xCO2,0.010588601
1891,heat,abrupt-4xCO2,0.014972635
1892,heat,abrupt-4xCO2,0.014682388
1893,heat,abrupt-4xCO2,0.010586742
1894,heat,abrupt-4xCO2,0.014552004
1895,heat,abrupt-4xCO2,0.015645862
1896,heat,abrupt-4xCO2,0.011078032
1897,heat,abrupt-4xCO2,0.015390194
1898,heat,abrupt-4xCO2,0.015881179
1899,heat,abrupt-4xCO2,0.013170907
1900,heat,abrupt-4xCO2,0.0152339
1901,heat,abrupt-4xCO2,0.017114276
1902,heat,abrupt-4xCO2,0.013595714
1903,heat,abrupt-4xCO2,0.011343636
1904,heat,abrupt-4xCO2,0.016270885
1905,heat,abrupt-4xCO2,0.01500497
1906,heat,abrupt-4xCO2,0.012882282
1907,heat,abrupt-4xCO2,0.014834766
1908,heat,abrupt-4xCO2,0.015438659
1909,heat,abrupt-4xCO2,0.013633994
1910,heat,abrupt-4xCO2,0.016762335
1911,heat,abrupt-4xCO2,0.0139452685
1912,heat,abrupt-4xCO2,0.011077601
1913,heat,abrupt-4xCO2,0.015452131
1914,heat,abrupt-4xCO2,0.017019598
1915,heat,abrupt-4xCO2,0.014319496
1916,heat,abrupt-4xCO2,0.016342785
1917,heat,abrupt-4xCO2,0.016296718
1918,heat,abrupt-4xCO2,0.013793696
1919,heat,abrupt-4xCO2,0.015316359
1920,heat,abrupt-4xCO2,0.017172074
1921,heat,abrupt-4xCO2,0.013635369
1922,heat,abrupt-4xCO2,0.015545784
1923,heat,abrupt-4xCO2,0.015642663
1924,heat,abrupt-4xCO2,0.01182951
1925,heat,abrupt-4xCO2,0.013357961
1926,heat,abrupt-4xCO2,0.016257595
1927,heat,abrupt-4xCO2,0.013136388
1928,heat,abrupt-4xCO2,0.014558444
1929,heat,abrupt-4xCO2,0.016095474
1930,heat,abrupt-4xCO2,0.013870539
1931,heat,abrupt-4xCO2,0.016398119
1932,heat,abrupt-4xCO2,0.01408228
1933,heat,abrupt-4xCO2,0.014372488
1934,heat,abrupt-4xCO2,0.013003639
1935,heat,abrupt-4xCO2,0.016416293
1936,heat,abrupt-4xCO2,0.017384771
1937,heat,abrupt-4xCO2,0.014295797
1938,heat,abrupt-4xCO2,0.012623447
1939,heat,abrupt-4xCO2,0.016363604
1940,heat,abrupt-4xCO2,0.013606088
1941,heat,abrupt-4xCO2,0.015793433
1942,heat,abrupt-4xCO2,0.016736966
1943,heat,abrupt-4xCO2,0.016697703
1944,heat,abrupt-4xCO2,0.013244405
1945,heat,abrupt-4xCO2,0.016396748
1946,heat,abrupt-4xCO2,0.01619952
1947,heat,abrupt-4xCO2,0.014355722
1948,heat,abrupt-4xCO2,0.017723074
1949,heat,abrupt-4xCO2,0.013719878
1950,heat,abrupt-4xCO2,0.010668051
1951,heat,abrupt-4xCO2,0.017204843
1952,heat,abrupt-4xCO2,0.015968999
1953,heat,abrupt-4xCO2,0.015101186
1954,heat,abrupt-4xCO2,0.016701607
1955,heat,abrupt-4xCO2,0.015671141
1956,heat,abrupt-4xCO2,0.015858425
1957,heat,abrupt-4xCO2,0.014419787
1958,heat,abrupt-4xCO2,0.015878381
1959,heat,abrupt-4xCO2,0.01685869
1960,heat,abrupt-4xCO2,0.013723659
1961,heat,abrupt-4xCO2,0.016218375
1962,heat,abrupt-4xCO2,0.016953992
1963,heat,abrupt-4xCO2,0.016983254
1964,heat,abrupt-4xCO2,0.0148795135
1965,heat,abrupt-4xCO2,0.016409121
1966,heat,abrupt-4xCO2,0.017633922
1967,heat,abrupt-4xCO2,0.012111484
1968,heat,abrupt-4xCO2,0.013477672
1969,heat,abrupt-4xCO2,0.019160876
1970,heat,abrupt-4xCO2,0.019619526
1971,heat,abrupt-4xCO2,0.014313703
1972,heat,abrupt-4xCO2,0.014761435
1973,heat,abrupt-4xCO2,0.019264854
1974,heat,abrupt-4xCO2,0.015811669
1975,heat,abrupt-4xCO2,0.013514128
1976,heat,abrupt-4xCO2,0.018414183
1977,heat,abrupt-4xCO2,0.018813077
1978,heat,abrupt-4xCO2,0.013766479
1979,heat,abrupt-4xCO2,0.013348348
1980,heat,abrupt-4xCO2,0.018132498
1981,heat,abrupt-4xCO2,0.016117632
1982,heat,abrupt-4xCO2,0.017471565
1983,heat,abrupt-4xCO2,0.01891974
1984,heat,abrupt-4xCO2,0.018272875
1985,heat,abrupt-4xCO2,0.016332341
1986,heat,abrupt-4xCO2,0.013999744
1987,heat,abrupt-4xCO2,0.01547896
1988,heat,abrupt-4xCO2,0.019345973
1989,heat,abrupt-4xCO2,0.018044902
1990,heat,abrupt-4xCO2,0.015804214
1991,heat,abrupt-4xCO2,0.018764593
1992,heat,abrupt-4xCO2,0.017665032
1993,heat,abrupt-4xCO2,0.014988383
1994,heat,abrupt-4xCO2,0.01637281
1995,heat,abrupt-4xCO2,0.019435376
1996,heat,abrupt-4xCO2,0.019241594
1997,heat,abrupt-4xCO2,0.015688675
1998,heat,abrupt-4xCO2,0.017646635
1999,heat,abrupt-4xCO2,0.017491028
2000,heat,abrupt-4xCO2,0.016140506
1850,precip,abrupt-4xCO2,0.0008409152
1851,precip,abrupt-4xCO2,0.0010480284
1852,precip,abrupt-4xCO2,0.0010864399
1853,precip,abrupt-4xCO2,0.0009471882
1854,precip,abrupt-4xCO2,0.0009323183
1855,precip,abrupt-4xCO2,0.00094842946
1856,precip,abrupt-4xCO2,0.0012393207
1857,precip,abrupt-4xCO2,0.0011628125
1858,precip,abrupt-4xCO2,0.0011676132
1859,precip,abrupt-4xCO2,0.0011961048
1860,precip,abrupt-4xCO2,0.0011539527
1861,precip,abrupt-4xCO2,0.001060024
1862,precip,abrupt-4xCO2,0.0012328055
1863,precip,abrupt-4xCO2,0.0012646661
1864,precip,abrupt-4xCO2,0.0012128754
1865,precip,abrupt-4xCO2,0.0012815114
1866,precip,abrupt-4xCO2,0.0012473854
1867,precip,abrupt-4xCO2,0.0011089985
1868,precip,abrupt-4xCO2,0.0013131278
1869,precip,abrupt-4xCO2,0.0012519687
1870,precip,abrupt-4xCO2,0.0010609782
1871,precip,abrupt-4xCO2,0.001226795
1872,precip,abrupt-4xCO2,0.0013314142
1873,precip,abrupt-4xCO2,0.0011348124
1874,precip,abrupt-4xCO2,0.0012056197
1875,precip,abrupt-4xCO2,0.0012897343
1876,precip,abrupt-4xCO2,0.0011213014
1877,precip,abrupt-4xCO2,0.0011547722
1878,precip,abrupt-4xCO2,0.0013548365
1879,precip,abrupt-4xCO2,0.0012023946
1880,precip,abrupt-4xCO2,0.0012053942
1881,precip,abrupt-4xCO2,0.0013188217
1882,precip,abrupt-4xCO2,0.0011077548
1883,precip,abrupt-4xCO2,0.0012892261
1884,precip,abrupt-4xCO2,0.0012577369
1885,precip,abrupt-4xCO2,0.001146969
1886,precip,abrupt-4xCO2,0.0013076446
1887,precip,abrupt-4xCO2,0.0012526435
1888,precip,abrupt-4xCO2,0.0012761607
1889,precip,abrupt-4xCO2,0.0012808742
1890,precip,abrupt-4xCO2,0.0011584241
1891,precip,abrupt-4xCO2,0.0013229998
1892,precip,abrupt-4xCO2,0.0012268599
1893,precip,abrupt-4xCO2,0.0011519549
1894,precip,abrupt-4xCO2,0.0012447305
1895,precip,abrupt-4xCO2,0.0013533197
1896,precip,abrupt-4xCO2,0.0011293854
1897,precip,abrupt-4xCO2,0.0013141911
1898,precip,abrupt-4xCO2,0.0012628508
1899,precip,abrupt-4xCO2,0.001155995
1900,precip,abrupt-4xCO2,0.0013546973
1901,precip,abrupt-4xCO2,0.001305281
1902,precip,abrupt-4xCO2,0.0012230292
1903,precip,abrupt-4xCO2,0.0011531939
1904,precip,abrupt-4xCO2,0.001395126
1905,precip,abrupt-4xCO2,0.0012402188
1906,precip,abrupt-4xCO2,0.0011624721
1907,precip,abrupt-4xCO2,0.0012921854
1908,precip,abrupt-4xCO2,0.0013399364
1909,precip,abrupt-4xCO2,0.0012049198
1910,precip,abrupt-4xCO2,0.0014291193
1911,precip,abrupt-4xCO2,0.0012318947
1912,precip,abrupt-4xCO2,0.0010429812
1913,precip,abrupt-4xCO2,0.0012896046
1914,precip,abrupt-4xCO2,0.0013879046
1915,precip,abrupt-4xCO2,0.0011548335
1916,precip,abrupt-4xCO2,0.001267154
1917,precip,abrupt-4xCO2,0.0012326812
1918,precip,abrupt-4xCO2,0.0012934242
1919,precip,abrupt-4xCO2,0.0012764054
1920,precip,abrupt-4xCO2,0.001189362
1921,precip,abrupt-4xCO2,0.0011490604
1922,precip,abrupt-4xCO2,0.0013528067
1923,precip,abrupt-4xCO2,0.001272737
1924,precip,abrupt-4xCO2,0.0011946687
1925,precip,abrupt-4xCO2,0.001268932
1926,precip,abrupt-4xCO2,0.0013451441
1927,precip,abrupt-4xCO2,0.0012547846
1928,precip,abrupt-4xCO2,0.0012717933
1929,precip,abrupt-4xCO2,0.0013432488
1930,precip,abrupt-4xCO2,0.0012698575
1931,precip,abrupt-4xCO2,0.0012765967
1932,precip,abrupt-4xCO2,0.0011968652
1933,precip,abrupt-4xCO2,0.0012976824
1934,precip,abrupt-4xCO2,0.0012587992
1935,precip,abrupt-4xCO2,0.0013617666
1936,precip,abrupt-4xCO2,0.0013075776
1937,precip,abrupt-4xCO2,0.0012492745
1938,precip,abrupt-4xCO2,0.0012020569
1939,precip,abrupt-4xCO2,0.0013378579
1940,precip,abrupt-4xCO2,0.0012069942
1941,precip,abrupt-4xCO2,0.0013539391
1942,precip,abrupt-4xCO2,0.0013198127
1943,precip,abrupt-4xCO2,0.0013456924
1944,precip,abrupt-4xCO2,0.0012023612
1945,precip,abrupt-4xCO2,0.0013429753
1946,precip,abrupt-4xCO2,0.0012843222
1947,precip,abrupt-4xCO2,0.0012894653
1948,precip,abrupt-4xCO2,0.001356489
1949,precip,abrupt-4xCO2,0.0011891332
1950,precip,abrupt-4xCO2,0.0011234083
1951,precip,abrupt-4xCO2,0.0013873948
1952,precip,abrupt-4xCO2,0.0013654229
1953,precip,abrupt-4xCO2,0.0012166713
1954,precip,abrupt-4xCO2,0.001367262
1955,precip,abrupt-4xCO2,0.0013466184
1956,precip,abrupt-4xCO2,0.0013109322
1957,precip,abrupt-4xCO2,0.0012118344
1958,precip,abrupt-4xCO2,0.0013516599
1959,precip,abrupt-4xCO2,0.0013072559
1960,precip,abrupt-4xCO2,0.00121742
1961,precip,abrupt-4xCO2,0.001319151
1962,precip,abrupt-4xCO2,0.0013617536
1963,precip,abrupt-4xCO2,0.0012737707
1964,precip,abrupt-4xCO2,0.0012367801
1965,precip,abrupt-4xCO2,0.001330024
1966,precip,abrupt-4xCO2,0.0013454567
1967,precip,abrupt-4xCO2,0.0011461984
1968,precip,abrupt-4xCO2,0.0012070931
1969,precip,abrupt-4xCO2,0.001304388
